ADC[mV],Beschleunigung_x[mg],Beschleunigung_y[mg],Beschleunigung_z[mg],Winkelgeschwindigkeit_x[mdeg/s],Winkelgeschwindigkeit_y[mdeg/s],Winkelgeschwindigkeit_z[mdeg/s],Magnetfeld_x[mT],Magnetfeld_y[mT],Magnetfeld_z[mT],Widerstand[A/(Vs)],Zeit[ms]
447,15,1035,91,-1586,1831,-4028,9,66,84,6987,81641
447,17,1035,91,3906,0,3051,9,66,84,6987,81646
446,11,1039,91,3662,-2319,-3417,9,66,84,6987,81651
447,7,1031,89,-2197,-2075,5493,9,66,84,6987,81656
447,15,1037,89,4028,-732,8666,9,66,84,6987,81661
447,17,1039,91,-1220,-2319,6469,8,66,85,6989,81666
448,11,1039,89,-732,-2929,3173,8,66,85,6989,81671
447,17,1037,91,-4150,6469,854,8,66,85,6989,81676
449,9,1035,87,-1708,-6958,-244,8,66,85,6989,81681
447,13,1037,93,610,-244,-2197,8,66,85,6989,81686
447,13,1037,91,-1708,-5859,1708,8,66,85,6989,81691
447,15,1039,91,2075,-5859,-3784,8,66,85,6989,81696
448,13,1035,89,-2075,-854,-2807,8,67,86,6989,81701
447,13,1033,89,1831,976,5493,8,67,86,6989,81706
446,15,1042,87,5249,-2807,-4394,8,67,86,6989,81711
448,15,1031,91,3173,3906,-1098,8,67,86,6989,81716
448,33,1052,115,-1953,4760,3906,8,67,86,6989,81721
448,-3,1015,91,-1586,-1586,4882,8,67,86,6989,81726
447,17,1042,89,-5493,-2807,5737,8,67,86,6989,81731
448,9,1042,89,-8300,-2563,-854,9,66,84,6989,81736
448,7,1044,91,5371,-1586,1220,9,66,84,6989,81741
447,27,1046,87,2929,8178,1586,9,66,84,6989,81746
448,50,1046,72,-6958,3051,-3051,9,66,84,6989,81751
448,48,1029,89,-5859,1464,7812,9,66,84,6989,81756
448,50,1025,91,1098,2807,2075,9,66,84,6989,81761
449,207,875,205,-3051,12695,6591,9,66,84,6989,81766
448,285,1058,109,488,13916,-1953,9,65,86,6988,81771
447,263,1068,-17,-976,12451,2563,9,65,86,6988,81776
448,224,1029,-31,1586,10864,7324,9,65,86,6988,81781
447,195,1017,-25,2319,14526,-732,9,65,86,6988,81786
448,230,1033,-39,-122,20751,2075,9,65,86,6988,81791
448,269,1023,-25,2807,34912,3295,9,65,86,6988,81796
449,314,1054,-13,-2807,31127,9155,9,65,86,6988,81801
447,349,1076,-5,-5126,37597,7446,9,65,84,6988,81806
447,347,1080,9,-6469,44189,9277,9,65,84,6988,81811
447,345,1097,25,-1953,47607,20263,9,65,84,6988,81816
446,357,1115,42,0,47241,17944,9,65,84,6988,81821
448,388,1113,60,3662,45898,21240,9,65,84,6988,81826
448,404,1175,70,-5249,42968,27954,9,65,84,6988,81831
448,384,1054,78,2075,48217,36865,7,67,83,6987,81836
448,421,1183,62,-10009,32348,32592,7,67,83,6987,81841
447,396,1023,95,488,36254,40405,7,67,83,6987,81846
447,427,1056,107,-2197,36987,50537,7,67,83,6987,81851
448,351,1021,99,9277,31250,54443,7,67,83,6987,81856
449,259,1210,70,5249,26367,64208,7,67,83,6987,81861
446,238,1107,74,-244,26611,59204,7,67,83,6987,81866
447,246,1041,87,5249,16479,57006,4,69,79,6989,81871
447,244,1146,64,5371,14282,71044,4,69,79,6989,81876
446,240,974,82,3173,12329,71777,4,69,79,6989,81881
448,199,1085,50,4150,5981,71411,4,69,79,6989,81886
446,154,1003,54,9033,-2319,66772,4,69,79,6989,81891
449,130,1031,50,-488,1464,65917,4,69,79,6989,81896
447,105,1025,42,9033,2563,60546,4,69,79,6989,81901
447,72,984,48,5981,-7568,57128,2,72,78,6988,81906
447,50,1013,44,9765,-6591,45654,2,72,78,6988,81911
447,48,972,48,10742,-4760,54565,2,72,78,6988,81916
447,29,1003,52,7568,-5981,36376,2,72,78,6988,81921
446,15,976,56,4272,-10009,39672,2,72,78,6988,81926
448,7,990,58,7812,-10009,38330,2,72,78,6988,81931
447,5,992,54,14282,-4760,32592,2,72,78,6988,81936
447,1,994,56,21362,-9277,23437,0,73,77,6989,81941
448,-9,1000,62,13916,-8544,18066,0,73,77,6989,81946
448,-7,1000,74,16235,-12695,9765,0,73,77,6989,81951
447,-9,1025,83,18066,-11230,5737,0,73,77,6989,81956
447,0,1027,89,20874,-5859,-854,0,73,77,6989,81961
